iter	Passed	Remaining
260	39650	66691
261	39826	66580
262	39991	66449
263	40164	66331
264	40333	66208
265	40501	66082
266	40659	65938
267	40824	65806
268	40991	65678
269	41156	65545
270	41312	65398
271	41465	65247
272	41638	65126
273	41807	65000
274	41996	64903
275	42168	64779
276	42337	64652
277	42522	64548
278	42699	64432
279	42875	64313
280	43042	64180
281	43219	64063
282	43386	63929
283	43543	63782
284	43707	63644
285	43873	63509
286	44038	63372
287	44198	63227
288	44356	63081
289	44508	62925
290	44645	62749
291	44786	62578
292	44916	62392
293	45053	62216
294	45191	62043
295	45330	61870
296	45465	61692
297	45586	61495
298	45716	61312
299	45855	61141
300	45991	60965
301	46134	60799
302	46270	60624
303	46413	60460
304	46563	60303
305	46694	60123
306	46831	59950
307	46983	59797
308	47140	59649
309	47300	59507
310	47463	59367
311	47606	59203
312	47749	59038
313	47894	58876
314	48056	58735
315	48208	58582
316	48338	58402
317	48502	58263
318	48662	58120
319	48828	57983
320	48968	57816
321	49127	57671
322	49254	57489
323	49399	57328
324	49532	57152
325	49661	56974
326	49797	56802
327	49922	56618
328	50059	56450
329	50198	56283
330	50338	56117
331	50471	55944
332	50606	55773
333	50739	55601
334	50859	55413
335	50996	55245
336	51115	55059
337	51244	54883
338	51389	54724
339	51531	54562
340	51688	54417
341	51843	54268
342	51978	54099
343	52058	53874
344	52194	53707
345	52339	53549
346	52480	53388
347	52620	53225
348	52771	53073
349	52953	52953
350	53094	52791
351	53238	52633
352	53379	52472
353	53526	52316
354	53681	52169
355	53851	52036
356	54015	51896
357	54160	51739
358	54298	51575
359	54447	51422
360	54602	51274
361	54748	51118
362	54879	50948
363	55010	50778
364	55184	50648
365	55320	50484
366	55445	50308
367	55597	50158
368	55748	50007
369	55888	49846
370	56022	49680
371	56140	49499
372	56290	49348
373	56423	49181
374	56570	49027
375	56699	48857
376	56835	48694
377	56969	48529
378	57096	48358
379	57236	48198
380	57402	48061
381	57535	47896
382	57675	47736
383	57822	47583
384	57954	47417
385	58095	47259
386	58248	47110
387	58392	46954
388	58541	46803
389	58687	46648
390	58822	46486
391	58952	46320
392	59089	46158
393	59217	45991
394	59417	45879
395	59562	45724
396	59698	45563
397	59837	45404
398	59986	45253
399	60120	45090
400	60256	44929
401	60406	44778
402	60540	44616
403	60675	44455
404	60807	44291
405	60960	44144
406	61103	43988
407	61253	43838
408	61405	43689
409	61550	43535
410	61680	43371
411	61819	43213
412	61956	43054
413	62089	42892
414	62225	42733
415	62357	42571
416	62492	42411
417	62625	42249
418	62758	42088
419	62899	41932
420	63049	41783
421	63186	41624
422	63324	41467
423	63461	41310
424	63613	41161
425	63765	41013
426	63898	40853
427	64043	40700
428	64183	40544
429	64313	40382
430	64455	40228
431	64604	40078
432	64774	39941
433	64945	39805
434	65099	39658
435	65228	39496
436	65364	39338
437	65518	39191
438	65647	39029
439	65805	38884
440	65951	38733
441	66089	38577
442	66240	38428
443	66390	38279
444	66542	38130
445	66682	37976
446	66838	37830
447	66985	37679
448	67126	37525
449	67275	37375
450	67426	37226
451	67553	37064
452	67709	36918
453	67851	36765
454	67997	36614
455	68142	36462
456	68271	36302
457	68426	36155
458	68581	36009
459	68733	35861
460	68874	35707
461	69027	35559
462	69181	35412
463	69310	35252
464	69456	35101
465	69621	34960
466	69772	34811
467	69915	34659
468	70057	34506
469	70194	34350
470	70325	34192
471	70435	34024
472	70589	33876
473	70727	33722
474	70873	33571
475	71023	33422
476	71170	33272
477	71309	33118
478	71451	32966
479	71617	32824
480	71776	32680
481	71915	32526
482	72053	32371
483	72188	32216
484	72333	32065
485	72472	31911
486	72638	31769
487	72793	31623
488	72929	31468
489	73071	31316
490	73193	31155
491	73341	31006
492	73492	30857
493	73687	30728
494	73831	30576
495	73990	30431
496	74128	30277
497	74281	30130
498	74426	29979
499	74567	29826
500	74710	29675
501	74852	29523
502	74986	29368
503	75124	29215
504	75268	29064
505	75408	28911
506	75539	28755
507	75682	28604
508	75827	28453
509	75973	28303
510	76118	28153
511	76262	28002
512	76397	27848
513	76527	27692
514	76669	27541
515	76814	27391
516	76957	27240
517	77111	27093
518	77267	26946
519	77401	26792
520	77545	26642
521	77690	26492
522	77825	26338
523	77952	26182
524	78099	26033
525	78252	25885
526	78442	25750
527	78606	25606
528	78756	25458
529	78907	25309
530	79060	25162
531	79200	25010
532	79346	24860
533	79488	24710
534	79631	24559
535	79779	24410
536	79928	24261
537	80069	24110
538	80207	23957
539	80332	23802
540	80482	23653
541	80620	23502
542	80763	23351
543	80909	23201
544	81051	23051
545	81189	22899
546	81327	22748
547	81470	22597
548	81602	22444
549	81738	22292
550	81885	22143
551	82020	21990
552	82165	21841
553	82326	21696
554	82466	21545
555	82610	21395
556	82749	21244
557	82886	21092
558	83008	20937
559	83135	20783
560	83283	20635
561	83420	20484
562	83566	20334
563	83700	20182
564	83844	20033
565	83979	19882
566	84108	19729
567	84246	19578
568	84383	19427
569	84530	19278
570	84647	19123
571	84792	18974
572	84941	18826
573	85081	18676
574	85240	18530
575	85405	18385
576	85575	18242
577	85728	18094
578	85887	17948
579	86034	17800
580	86174	17650
581	86355	17508
582	86497	17358
583	86649	17211
584	86793	17061
585	86963	16917
586	87113	16769
587	87275	16623
588	87431	16476
589	87591	16330
590	87733	16180
591	87880	16032
592	88062	15889
593	88245	15747
594	88414	15602
595	88592	15459
596	88740	15310
597	88906	15164
598	89077	15019
599	89256	14876
600	89396	14725
601	89536	14575
602	89691	14427
603	89844	14279
604	90010	14133
605	90161	13985
606	90321	13838
607	90483	13691
608	90645	13544
609	90794	13395
610	90954	13248
611	91101	13099
612	91263	12952
613	91442	12807
614	91601	12660
615	91752	12511
616	91889	12361
617	92043	12212
618	92180	12062
619	92324	11912
620	92469	11763
621	92640	11617
622	92802	11470
623	92963	11322
624	93110	11173
625	93276	11026
626	93400	10874
627	93527	10722
628	93680	10574
629	93820	10424
630	93958	10274
631	94113	10126
632	94268	9977
633	94432	9830
634	94590	9682
635	94753	9534
636	94910	9386
637	95074	9239
638	95222	9090
639	95394	8943
640	95556	8795
641	95750	8650
642	95915	8502
643	96056	8352
644	96208	8203
645	96363	8055
646	96525	7907
647	96690	7759
648	96848	7610
649	96998	7461
650	97158	7313
651	97325	7165
652	97491	7016
653	97631	6867
654	97768	6716
655	97902	6566
656	98031	6416
657	98187	6267
658	98355	6119
659	98511	5970
660	98690	5822
661	98862	5674
662	99028	5526
663	99165	5376
664	99341	5228
665	99514	5080
666	99702	4932
667	99856	4783
668	100023	4634
669	100181	4485
670	100355	4337
671	100525	4188
672	100677	4039
673	100850	3890
674	101004	3740
675	101166	3591
676	101324	3442
677	101486	3293
678	101641	3143
679	101813	2994
680	101962	2844
681	102127	2695
682	102276	2545
683	102426	2395
684	102577	2246
685	102748	2096
686	102910	1947
687	103073	1797
688	103226	1648
689	103386	1498
690	103553	1348
691	103714	1199
692	103862	1049
693	104015	899
694	104139	749
695	104302	599
696	104454	449
697	104601	299
698	104738	149
699	104872	0
