iter	Logloss
0	0.5291016363
1	0.4256135582
2	0.3508427436
3	0.3061292661
4	0.24853577
5	0.2045666089
6	0.1804380565
7	0.1613126662
8	0.1459729794
9	0.1363080146
10	0.1226912706
11	0.1124342334
12	0.1065260344
13	0.1001369846
14	0.09693194156
15	0.09274265568
16	0.08883413791
17	0.08710397314
18	0.08519023801
19	0.08285871791
20	0.08158396285
21	0.08048677483
22	0.07897091639
23	0.07829225965
24	0.07721405055
25	0.0764940068
26	0.07578264145
27	0.075173989
28	0.07475055186
29	0.0742223936
30	0.07379547431
31	0.07347437489
32	0.07317320601
33	0.07289919929
34	0.07268318629
35	0.07234285801
36	0.07182371314
37	0.07154459925
38	0.07137182765
39	0.07116392995
40	0.07094599207
41	0.07076616183
42	0.07066150777
43	0.07050489155
44	0.07017148751
45	0.06992918164
46	0.06979127511
47	0.06966170739
48	0.06957464096
49	0.06934820317
50	0.06919293293
51	0.06906877163
52	0.06892259165
53	0.06875748785
54	0.0686393785
55	0.06849652324
56	0.06838022994
57	0.06825479067
58	0.06818431817
59	0.06810972062
60	0.06801630995
61	0.06790969323
62	0.06784833091
63	0.06776921846
64	0.06768747633
65	0.06763261401
66	0.06756061047
67	0.06749962162
68	0.06744557543
69	0.06738005807
70	0.06733864003
71	0.06728383251
72	0.06711185345
73	0.06706283316
74	0.0670186033
75	0.06697070766
76	0.06690263514
77	0.06677285893
78	0.06672299063
79	0.06661131462
80	0.06655084583
81	0.06650107356
82	0.06644676902
83	0.06638289891
84	0.0662797935
85	0.06622310118
86	0.06617590127
87	0.06614059626
88	0.06609558271
89	0.06604495217
90	0.06599817418
91	0.06596315026
92	0.06592970988
93	0.06588058643
94	0.06581918369
95	0.06577496995
96	0.06572183076
97	0.06569620858
98	0.06561004522
99	0.06556350957
100	0.06548095342
101	0.06546633389
102	0.06541965274
103	0.06535005014
104	0.06528693495
105	0.06524548035
106	0.06521107429
107	0.0651784723
108	0.06515093149
109	0.06508134137
110	0.06504240616
111	0.06501483903
112	0.06496136998
113	0.06491371446
114	0.06488872402
115	0.06486376037
