fold,catboost_auc,lightgbm_auc
1,0.9694985931872262,0.9711189963628958
2,0.9708559083824378,0.9718433913218126
3,0.9705311485245138,0.9708410355841331
4,0.9706154418129703,0.9721300655461484
5,0.9719756781596471,0.9728020018994649
