feature,importance
f11,22.961288264828273
session_duration_seconds,21.068974919484123
f10,11.389452480295391
cart_to_min_order_gap,7.016840602885715
idle_gap_seconds,6.6940735625427035
f12,5.47923368639349
f7,5.281525184178325
f9,3.6475719566665386
discount_to_min_order_ratio,3.0829759369302643
session_start_dayofweek,2.7045018381452284
avg_item_value,2.196214926883237
f16,1.643743884559838
meets_min_order,1.3997710841479711
f13,1.1505594766525913
f17,1.0792083471400953
f6,0.8108309475190112
session_start_hour,0.7155078538397122
active_span_seconds,0.5494468076023198
discount_to_cart_ratio,0.3850802089813984
f14,0.3716955455790953
f15,0.2619298143677074
session_start_is_weekend,0.09301293180218717
declined_offer_ratio,0.008955215504506385
f8,0.0076045230702536945
id,0.0
f2,0.0
