feature,importance
f16,1614
idle_gap_seconds,1578
avg_item_value,1554
cart_to_min_order_gap,1286
session_duration_seconds,1264
f11,1141
discount_to_cart_ratio,1137
active_span_seconds,1122
session_start_hour,940
session_start_dayofweek,583
f10,581
discount_to_min_order_ratio,553
f6,370
f15,301
f13,253
f12,170
f9,160
f17,135
f7,117
session_start_is_weekend,60
f8,40
declined_offer_ratio,28
meets_min_order,13
f2,0
id,0
f14,0
