feature,importance
session_duration_seconds,23.322987235643527
items_per_offer,16.604156218052864
f11,8.519368124256218
f10,8.170418632600537
idle_gap_seconds,6.64706871035803
f9,4.886707849583987
f7,4.795637853197242
cart_has_items,4.669129435688488
f12,2.7038826405523557
f16,1.8289014858277859
discount_to_min_order_ratio,1.7889477436602539
promo_response_ignored,1.5228471993798987
idle_share,1.3970040338076355
f12_missing,1.1765900074600069
avg_item_value,1.0851098770982344
session_start_dayofweek,1.0615324549210707
active_span_seconds,0.9559055107015034
f15,0.8823554558241211
cart_value_per_offer,0.7117400749430867
offers_remaining_after_declines,0.6804840500496663
f13,0.662718287669298
cart_to_min_order_gap,0.5637023125912175
cart_gap_surplus,0.5405978974102335
f6,0.49047224265155986
f14,0.46285840786923294
promo_type_response_combo,0.4239258783374112
promo_response_accepted,0.4041059552840097
active_share,0.40102202183743874
discount_to_cart_ratio,0.39385561871849395
promo_response_declined,0.37280955155707657
action_response_combo,0.3214754236833344
session_start_hour,0.32123375382458813
cart_gap_shortfall,0.20402335661324658
action_promo_combo,0.19184559405567397
f14_missing,0.16433580984324703
f13_missing,0.1535175633567667
f17_missing,0.11266306195726543
f15_missing,0.1126337075509185
session_start_is_weekend,0.07984684086198433
has_any_offer,0.06012337243240401
discount_per_offer_shown,0.048583481472894985
session_part_of_day,0.047076384337356066
f17,0.03472884181258846
f8,0.011970978217882915
declined_offer_ratio,0.00909906244735369
promotion_present,0.0
meets_min_order,0.0
is_returning_customer,0.0
promo_response_group,0.0
