feature,importance
idle_gap_seconds,1640
f16,1565
avg_item_value,1492
session_duration_seconds,1391
active_span_seconds,1263
cart_to_min_order_gap,1241
f11,1077
discount_to_cart_ratio,1047
session_start_hour,971
session_start_dayofweek,624
f10,546
discount_to_min_order_ratio,527
f6,409
f15,289
f13,237
f9,185
f12,152
f17,131
f7,117
f8,36
session_start_is_weekend,31
declined_offer_ratio,19
meets_min_order,10
f2,0
id,0
f14,0
